,SHAP Zero: on_target,Model: on_target,Linear: on_target,Pairwise: on_target
0,0.004281655577805243,0.054007561392293124,0.3826706659803225,0.358958828456489
1,0.0896229310961465,0.530980746357167,0.5969458807719284,0.7229330654712093
2,0.4025657646015638,0.14890770084734417,0.6552914316870925,0.6221278057745233
3,0.05825136247808782,0.07193384395902103,0.5044548983086132,0.3462549819205175
4,0.0445292557730268,0.10274815223642231,0.5276378449254708,0.515952194194875
5,0.27092318542050264,0.8945405541924161,0.6207795192740573,0.8187239657419513
6,0.02630722931566254,0.05774613027566988,0.643073276349853,0.5676625676829286
7,0.2337145854910735,0.08098113928930839,0.635346045587687,0.6351830569988204
8,0.07363396505513309,0.5878594883923658,0.6255574583930411,0.5213331717602633
9,0.15267023585091366,0.8765376583218394,0.6607007981819792,0.7863445473808163
10,0.11914594345474072,0.6349965407909417,0.5985764895521093,0.5840105246229301
11,0.08608165284169444,0.04984534559612963,0.5410939396988875,0.2592163562472979
12,0.21233189564343002,0.21515376718825852,0.7187950171224723,0.7861984865039326
13,0.23391004129018844,0.760612625429968,0.684847723602112,0.7015310105455282
14,0.15193963001650956,0.8599936669509883,0.5921800836642344,0.7116148050184883
15,0.037517232293907576,0.04005512540849476,0.5827726284119729,0.3768304675652874
16,0.04821368785275959,0.07312816951631251,0.5175230356695627,0.44739488450190795
17,0.21044164941779397,0.44813263431718653,0.6828964312792881,0.6699010225474542
18,0.41912457548354576,0.07063254345617209,0.6841820964583127,0.5687405918666
19,0.3387667540631658,0.8981479346248826,0.6778744311155079,0.8380727891146937
20,0.43394489490411337,0.896361380927288,0.6222677843709254,0.7719173813700847
21,0.19502087441532834,0.925113952939239,0.5744447368593308,0.7345852604742288
22,0.06827827615784521,0.11795443653497317,0.6090986865034571,0.7400294095110016
23,0.07290729829093279,0.8642394467797361,0.5226146700957255,0.6267395903635379
24,0.07725789568197705,0.04487731960601404,0.657586996657886,0.5251392175165326
25,0.23812577006062152,0.9362950777485148,0.48766184519881417,0.5731257037282989
26,0.11713499299999475,0.11761047057415952,0.6281405838007104,0.7145604178287801
27,0.12219852539024201,0.06282327172761493,0.6603595764092614,0.7639256313024482
28,0.1972991240405737,0.6260019782378032,0.5640972110283582,0.33655988255778413
29,0.09013557749147239,0.7490199612767092,0.6601576284935977,0.4762988407380185
30,0.14006387416698474,0.8187057840051855,0.6793649689221288,0.5588105916705308
31,0.26575751649325774,0.7954573771881467,0.7231996770834479,0.5145616747083207
32,0.06725525586174741,0.28781793635965636,0.6021068272679542,0.4043396855887527
33,0.11510020110926678,0.11398575907505659,0.6721431131479998,0.29613440328465757
34,0.892169076698751,0.9477893092448848,0.7401422723536702,0.9909977541400992
35,0.0789278478981078,0.05337706373170914,0.7095228806754905,0.6278443209199971
36,0.5803286474023858,0.941935691609543,0.6978862460501161,0.9053471710917136
37,0.13986052967663842,0.9276649140510783,0.774349842298563,0.6723362360493838
38,0.574126418754018,0.832087789518352,0.757241123106985,0.6289798621536741
39,0.08018483781581998,0.5801828342972943,0.6280141165526928,0.6473260799445024
